patch_id,original_image_id,interaction_category,semantic_category,interaction_bbox
68,1063530002,trigger,card,"[717, 205, 126, 126]"
69,1063530003,trigger,Joker hat,"[182, 81, 478, 203]"
70,1063530004,trigger,apple,"[446, 406, 66, 63]"
71,1063530005,trigger,fruit,"[329, 0, 129, 186]"
72,1063530006,touch (reachable),photosphere,"[459, 168, 241, 209]"
73,1063530007,trigger,ball,"[247, 113, 209, 181]"
74,1063530007,trigger,ball,"[520, 177, 202, 170]"
75,1063530008,trigger,ball,"[53, 93, 253, 192]"
76,1063530008,trigger,ball,"[394, 143, 186, 171]"
77,1063530008,trigger,ball,"[640, 99, 305, 229]"
78,1063530009,trigger,gun,"[426, 183, 107, 184]"
79,1063530009,trigger,button,"[472, 31, 33, 33]"
80,1063530009,shoot,button,"[472, 31, 33, 33]"
81,1063530009,trigger,ice,"[662, 75, 98, 88]"
82,1063530009,shoot,ice,"[662, 75, 98, 88]"
83,1063530009,trigger,ice,"[807, 257, 119, 94]"
84,1063530009,shoot,ice,"[806, 257, 120, 94]"
85,1063530010,trigger,ice,"[125, 251, 120, 67]"
86,1063530010,shoot,ice,"[125, 251, 120, 67]"
87,1063530010,trigger,button,"[450, 281, 29, 26]"
88,1063530010,shoot,button,"[450, 280, 29, 27]"
89,1063530010,trigger,ice,"[357, 333, 91, 69]"
90,1063530010,shoot,ice,"[357, 333, 91, 69]"
91,1063530010,trigger,ice,"[332, 443, 63, 34]"
92,1063530010,shoot,ice,"[332, 443, 63, 34]"
95,1063530010,trigger,button,"[505, 203, 20, 21]"
96,1063530010,shoot,button,"[504, 202, 21, 22]"
97,1063530011,trigger,ring,"[519, 203, 24, 37]"
98,1063530011,shoot,ring,"[519, 204, 24, 36]"
99,1063530011,trigger,button,"[314, 146, 34, 29]"
100,1063530011,shoot,button,"[314, 146, 34, 29]"
101,1063530011,trigger,button,"[881, 123, 61, 40]"
102,1063530011,shoot,button,"[881, 123, 61, 40]"
103,1063530011,trigger,ice,"[323, 259, 45, 51]"
104,1063530011,shoot,ice,"[323, 259, 45, 51]"
105,1063530011,trigger,ice,"[632, 334, 86, 81]"
106,1063530011,shoot,ice,"[632, 334, 86, 81]"
107,1063530011,trigger,ice,"[847, 330, 113, 112]"
108,1063530011,shoot,ice,"[847, 330, 113, 112]"
109,1063530012,trigger,button,"[565, 240, 30, 27]"
110,1063530012,shoot,button,"[565, 240, 30, 27]"
111,1063530012,trigger,ice,"[670, 195, 56, 36]"
112,1063530012,shoot,ice,"[670, 195, 56, 36]"
115,1063530012,trigger,button,"[619, 139, 23, 25]"
117,1063530013,trigger,button,"[368, 156, 32, 28]"
118,1063530013,shoot,button,"[368, 156, 32, 28]"
119,1063530013,trigger,key,"[558, 238, 24, 36]"
120,1063530013,shoot,key,"[558, 238, 24, 36]"
121,1063530014,trigger,button,"[283, 156, 28, 25]"
122,1063530014,shoot,button,"[283, 157, 28, 24]"
123,1063530014,trigger,truck,"[532, 262, 47, 20]"
124,1063530014,shoot,truck,"[532, 262, 47, 21]"
125,1063530014,trigger,ice,"[367, 285, 48, 34]"
126,1063530014,shoot,ice,"[367, 285, 48, 35]"
127,1063530014,trigger,button,"[257, 302, 33, 26]"
128,1063530014,shoot,button,"[257, 302, 34, 27]"
129,1063530014,trigger,ice,"[231, 474, 72, 37]"
130,1063530014,shoot,ice,"[231, 474, 72, 37]"
131,1063530014,trigger,ice,"[117, 506, 79, 34]"
132,1063530014,shoot,ice,"[117, 506, 79, 34]"
133,1063530015,trigger,button,"[438, 213, 29, 26]"
134,1063530015,shoot,button,"[438, 213, 29, 27]"
135,1063530015,trigger,ice,"[622, 255, 56, 36]"
136,1063530015,shoot,ice,"[622, 255, 56, 36]"
137,1063530015,trigger,ice,"[625, 292, 38, 31]"
138,1063530015,shoot,ice,"[624, 291, 39, 32]"
139,1063530016,trigger,radio,"[455, 253, 36, 25]"
140,1063530016,shoot,radio,"[455, 253, 36, 25]"
141,1063530016,trigger,button,"[606, 114, 27, 23]"
142,1063530016,shoot,button,"[606, 114, 27, 23]"
143,1063530016,shoot,ice,"[669, 238, 58, 36]"
144,1063530016,shoot,ice,"[658, 275, 42, 34]"
145,1063530016,trigger,ice,"[668, 238, 60, 38]"
146,1063530016,trigger,ice,"[658, 275, 42, 34]"
147,1063530017,trigger,trophy,"[344, 184, 45, 65]"
148,1063530017,shoot,trophy,"[344, 184, 45, 65]"
149,1063530017,trigger,button,"[550, 0, 26, 18]"
150,1063530017,shoot,button,"[550, 0, 26, 18]"
151,1063530018,trigger,Pickaxe,"[342, 183, 72, 66]"
152,1063530018,trigger,Watering jug,"[477, 180, 65, 48]"
153,1063530018,trigger,Fist,"[642, 189, 29, 52]"
154,1063530018,trigger,fruit,"[286, 359, 28, 24]"
155,1063530018,trigger,fruit,"[365, 339, 24, 20]"
157,1063530018,touch (unreachable),plant,"[734, 403, 94, 44]"
158,1063530018,touch (unreachable),plant,"[670, 374, 51, 39]"
159,1063530018,watering,plant,"[734, 403, 94, 44]"
160,1063530018,watering,plant,"[670, 374, 51, 39]"
161,1063530019,trigger,ice,"[28, 120, 317, 283]"
162,1063530019,trigger,ice,"[467, 201, 53, 60]"
163,1063530019,trigger,fruit,"[615, 143, 31, 30]"
164,1063530019,trigger,fruit,"[694, 127, 27, 26]"
167,1063530020,trigger,bird,"[391, 0, 118, 132]"
168,1063530020,shoot,bird,"[391, 0, 118, 132]"
169,1063530020,trigger,bird,"[243, 0, 120, 92]"
170,1063530020,shoot,bird,"[243, 0, 120, 91]"
171,1063530021,touch (unreachable),plant,"[259, 396, 65, 144]"
172,1063530021,shoot,plant,"[259, 396, 65, 144]"
173,1063530022,touch (unreachable),stains,"[402, 310, 81, 70]"
174,1063530022,trigger,fruit,"[784, 284, 92, 74]"
175,1063530023,touch (unreachable),plant,"[368, 153, 60, 149]"
176,1063530023,touch (unreachable),plant,"[563, 124, 66, 218]"
177,1063530023,watering,plant,"[368, 153, 60, 149]"
179,1063530024,trigger,camera,"[275, 141, 274, 299]"
180,1063530025,trigger,Photo,"[422, 215, 93, 79]"
181,1063530026,trigger,Bracers,"[435, 106, 394, 387]"
182,1063530026,trigger,Bracers,"[286, 133, 163, 211]"
183,1063530027,trigger,tooth,"[418, 220, 160, 147]"
184,1063530028,trigger,tooth,"[357, 191, 245, 182]"
185,1063530029,trigger,radio,"[333, 122, 176, 132]"
186,1063530030,trigger,Cake,"[489, 314, 123, 67]"
187,1063530031,trigger,sword,"[328, 67, 168, 461]"
188,1063530032,trigger,cup,"[484, 200, 71, 142]"
189,1063530033,trigger,cabbage,"[464, 270, 88, 74]"
190,1063530034,throw,people,"[517, 139, 130, 214]"
191,1063530035,throw,people,"[264, 107, 234, 429]"
193,1063530036,trigger,hand,"[381, 251, 168, 87]"
194,1063530037,trigger,hammer,"[281, 52, 180, 308]"
195,1063530037,trigger,Watermelon,"[539, 417, 126, 123]"
196,1063530037,touch (unreachable),Watermelon,"[539, 417, 126, 123]"
197,1063530038,trigger,skull,"[231, 248, 119, 122]"
198,1063530039,trigger,building block,"[224, 87, 559, 151]"
199,1063530040,trigger,egg,"[432, 279, 41, 32]"
200,1063530040,trigger,egg,"[474, 264, 34, 30]"
201,1063530040,throw,target,"[514, 32, 79, 80]"
202,1063530041,trigger,hat,"[345, 134, 215, 166]"
203,1063530042,touch (reachable),crystal ball,"[396, 52, 171, 199]"
204,1063530043,trigger,sword,"[316, 264, 277, 163]"
205,1063530044,trigger,goose,"[368, 63, 167, 280]"
206,1063530045,shoot,target,"[200, 87, 93, 68]"
207,1063530045,shoot,target,"[379, 183, 77, 60]"
208,1063530046,trigger,twig,"[432, 115, 36, 354]"
209,1063530047,trigger,Alarm clock,"[93, 119, 568, 211]"
210,1063530048,trigger,cup,"[379, 166, 128, 156]"
211,1063530049,trigger,drawers,"[469, 149, 57, 52]"
212,1063530050,trigger,newspaper,"[226, 106, 442, 285]"
214,1063530052,trigger,sculpture,"[429, 156, 133, 190]"
215,1063530053,trigger,Photo,"[357, 177, 200, 92]"
216,1063530054,trigger,stool,"[365, 9, 242, 225]"
218,1063530056,trigger,shoe,"[519, 220, 96, 114]"
219,1063530056,trigger,shoe,"[402, 118, 111, 79]"
220,1063530057,trigger,drawers,"[294, 255, 43, 34]"
221,1063530057,trigger,jar,"[366, 8, 105, 131]"
222,1063530058,trigger,drawers,"[234, 139, 82, 66]"
223,1063530059,trigger,cup,"[336, 128, 181, 183]"
224,1063530060,trigger,Box,"[86, 90, 341, 326]"
225,1063530060,trigger,Cans,"[532, 225, 103, 133]"
226,1063530061,trigger,Honey spoon,"[212, 118, 391, 179]"
227,1063530061,trigger,Honey spoon,"[125, 95, 366, 280]"
228,1063530062,trigger,Cans,"[350, 264, 138, 120]"
229,1063530062,trigger,Cans,"[355, 161, 126, 117]"
230,1063530063,trigger,wok,"[189, 30, 579, 216]"
231,1063530064,trigger,Box,"[317, 45, 332, 235]"
232,1063530065,trigger,cup,"[427, 276, 74, 93]"
233,1063530066,trigger,pot,"[209, 106, 464, 286]"
234,1063530067,trigger,spoon,"[663, 202, 58, 93]"
235,1063530067,trigger,cup,"[482, 197, 46, 36]"
237,1063530067,trigger,Cans,"[389, 341, 58, 76]"
238,1063530068,trigger,spoon,"[491, 85, 93, 172]"
239,1063530069,trigger,ball,"[445, 261, 136, 121]"
240,1063530070,trigger,ball,"[662, 177, 90, 66]"
241,1063530070,trigger,book,"[581, 296, 58, 102]"
242,1063530070,trigger,book,"[430, 340, 73, 90]"
243,1063530070,trigger,book,"[371, 261, 56, 82]"
244,1063530070,trigger,book,"[442, 204, 71, 83]"
245,1063530070,trigger,book,"[508, 228, 91, 69]"
246,1063530070,trigger,book,"[384, 113, 57, 83]"
247,1063530070,trigger,bonsai,"[689, 0, 100, 54]"
248,1063530071,trigger,suitcase,"[211, 125, 349, 173]"
249,1063530072,trigger,Box,"[396, 181, 165, 111]"
250,1063530073,trigger,ball,"[244, 215, 104, 88]"
251,1063530073,trigger,ball,"[219, 316, 126, 71]"
252,1063530073,trigger,Box,"[521, 250, 161, 108]"
253,1063530074,trigger,toy,"[423, 130, 179, 127]"
254,1063530075,throw,ladybug,"[344, 125, 122, 127]"
255,1063530076,throw,hemisphere,"[446, 181, 56, 33]"
256,1063530077,throw,brand,"[268, 167, 362, 236]"
257,1063530078,throw,mushroom,"[343, 205, 215, 185]"
258,1063530079,trigger,toy,"[313, 432, 179, 108]"
259,1063530079,throw,snail,"[482, 165, 65, 102]"
260,1063530080,throw,snail,"[681, 266, 96, 74]"
261,1063530080,throw,drop,"[447, 118, 58, 39]"
262,1063530081,throw,drop,"[450, 124, 54, 39]"
263,1063530081,throw,drop,"[818, 130, 84, 50]"
264,1063530082,throw,drop,"[317, 266, 53, 36]"
265,1063530082,throw,drop,"[522, 176, 57, 41]"
266,1063530083,trigger,book,"[700, 183, 260, 210]"
267,1063530083,trigger,book,"[646, 251, 256, 184]"
268,1063530083,trigger,book,"[299, 144, 144, 105]"
269,1063530083,trigger,book,"[299, 219, 284, 229]"
270,1063530083,trigger,ruler,"[99, 269, 254, 108]"
271,1113370001,trigger,Option,"[343, 212, 248, 63]"
272,1113370001,trigger,Option,"[333, 277, 257, 69]"
273,1113370001,trigger,Option,"[319, 349, 271, 75]"
275,1113370002,trigger,AttackBall,"[493, 323, 211, 217]"
276,1113370003,joystick (click),shield,"[2, 122, 618, 416]"
279,1113370004,joystick,shield,"[2, 300, 580, 238]"
280,1150310001,trigger,button,"[229, 195, 138, 32]"
281,1150310001,trigger,button,"[403, 198, 143, 30]"
283,1150310001,trigger,exitButton,"[447, 252, 61, 46]"
284,1150310002,trigger,button,"[371, 180, 57, 68]"
285,1150310002,trigger,button,"[529, 182, 62, 74]"
286,1150310003,trigger,button,"[354, 194, 29, 26]"
287,1150310003,trigger,button,"[580, 194, 30, 28]"
288,1150310003,trigger,button,"[434, 226, 95, 24]"
289,1150310004,trigger,button,"[433, 234, 99, 24]"
290,1150310004,trigger,button,"[332, 115, 306, 114]"
291,1150310005,trigger,button,"[312, 100, 112, 114]"
292,1150310005,trigger,button,"[434, 107, 108, 111]"
293,1150310005,trigger,button,"[549, 110, 117, 111]"
294,1150310006,trigger,restartButton,"[185, 228, 137, 33]"
295,1150310006,trigger,exitButton,"[666, 192, 203, 48]"
296,1157070008,trigger,number stone,"[225, 410, 77, 70]"
297,1157070008,trigger,number stone,"[308, 226, 70, 68]"
298,1157070008,trigger,number stone,"[421, 256, 90, 102]"
299,1157070008,trigger,number stone,"[493, 443, 56, 58]"
300,1157070008,trigger,number stone,"[624, 421, 50, 51]"
301,1157070008,trigger,number stone,"[619, 482, 48, 50]"
302,1157070008,trigger,number stone,"[633, 284, 54, 59]"
303,1157070008,trigger,number stone,"[645, 136, 58, 55]"
304,1157070008,trigger,number stone,"[573, 32, 67, 74]"
305,1157070008,trigger,number stone,"[492, 26, 65, 78]"
306,1157070008,trigger,number stone,"[0, 441, 94, 79]"
307,1157070008,trigger,number stone,"[410, 466, 63, 51]"
308,1157070008,trigger,number stone,"[494, 509, 51, 31]"
309,1157070008,trigger,number stone,"[501, 296, 52, 65]"
310,1157070008,hold,number stone,"[0, 441, 95, 79]"
311,1157070008,hold,number stone,"[225, 410, 77, 70]"
312,1157070008,hold,number stone,"[410, 466, 64, 51]"
313,1157070008,hold,number stone,"[493, 443, 56, 58]"
314,1157070008,hold,number stone,"[494, 509, 51, 31]"
315,1157070008,hold,number stone,"[624, 421, 49, 51]"
316,1157070008,hold,number stone,"[619, 482, 48, 50]"
317,1157070008,hold,number stone,"[633, 284, 54, 59]"
318,1157070008,hold,number stone,"[645, 136, 58, 55]"
319,1157070008,hold,number stone,"[573, 32, 67, 75]"
320,1157070008,hold,number stone,"[492, 26, 65, 78]"
321,1157070008,hold,number stone,"[308, 226, 70, 68]"
322,1157070008,hold,number stone,"[421, 256, 91, 102]"
323,1157070008,hold,number stone,"[501, 295, 52, 66]"
324,1157070001,touch (reachable),button,"[37, 254, 176, 85]"
325,1157070001,touch (reachable),button,"[20, 37, 205, 98]"
326,1157070001,touch (reachable),button,"[461, 242, 163, 86]"
327,1157070001,touch (reachable),button,"[456, 153, 167, 88]"
328,1157070001,touch (reachable),button,"[454, 29, 169, 96]"
329,1157070001,select,button,"[37, 254, 175, 85]"
330,1157070001,select,button,"[20, 37, 209, 98]"
331,1157070001,select,button,"[461, 242, 163, 86]"
332,1157070001,select,button,"[456, 153, 167, 87]"
333,1157070001,select,button,"[454, 29, 169, 96]"
334,1157070002,trigger,number stone,"[63, 313, 96, 53]"
335,1157070002,trigger,number stone,"[158, 300, 79, 48]"
336,1157070002,trigger,number stone,"[186, 328, 98, 62]"
337,1157070002,trigger,number stone,"[277, 296, 75, 48]"
338,1157070002,trigger,number stone,"[344, 316, 72, 57]"
339,1157070002,trigger,number stone,"[354, 264, 31, 59]"
340,1157070002,trigger,number stone,"[386, 283, 82, 64]"
341,1157070002,trigger,number stone,"[448, 313, 64, 55]"
342,1157070002,trigger,number stone,"[461, 275, 52, 39]"
343,1157070002,trigger,number stone,"[516, 305, 74, 53]"
344,1157070002,trigger,number stone,"[540, 270, 62, 39]"
345,1157070002,trigger,number stone,"[600, 292, 80, 57]"
346,1157070002,hold,number stone,"[63, 313, 96, 53]"
347,1157070002,hold,number stone,"[158, 300, 79, 48]"
348,1157070002,hold,number stone,"[186, 328, 98, 62]"
349,1157070002,hold,number stone,"[277, 296, 75, 48]"
350,1157070002,hold,number stone,"[344, 317, 72, 56]"
351,1157070002,hold,number stone,"[354, 264, 31, 59]"
352,1157070002,hold,number stone,"[386, 283, 82, 64]"
353,1157070002,hold,number stone,"[448, 313, 64, 55]"
354,1157070002,hold,number stone,"[461, 275, 52, 39]"
355,1157070002,hold,number stone,"[516, 305, 74, 53]"
356,1157070002,hold,number stone,"[540, 269, 62, 40]"
357,1157070002,hold,number stone,"[600, 292, 80, 57]"
358,1157070003,trigger,number stone,"[181, 273, 73, 41]"
359,1157070003,trigger,number stone,"[252, 261, 61, 41]"
360,1157070003,trigger,number stone,"[277, 282, 78, 49]"
361,1157070003,trigger,number stone,"[347, 255, 64, 41]"
362,1157070003,trigger,number stone,"[406, 271, 65, 47]"
363,1157070003,trigger,number stone,"[413, 225, 27, 50]"
364,1157070003,trigger,number stone,"[444, 247, 75, 47]"
365,1157070003,trigger,number stone,"[499, 267, 61, 48]"
366,1157070003,trigger,number stone,"[510, 235, 52, 34]"
367,1157070003,trigger,number stone,"[563, 258, 74, 47]"
368,1157070003,trigger,number stone,"[589, 229, 61, 35]"
369,1157070003,trigger,number stone,"[649, 246, 84, 52]"
370,1157070003,hold,number stone,"[181, 273, 73, 41]"
371,1157070003,hold,number stone,"[252, 261, 61, 41]"
372,1157070003,hold,number stone,"[277, 281, 78, 50]"
373,1157070003,hold,number stone,"[347, 255, 64, 41]"
374,1157070003,hold,number stone,"[406, 271, 65, 48]"
375,1157070003,hold,number stone,"[413, 225, 27, 50]"
376,1157070003,hold,number stone,"[444, 246, 75, 48]"
377,1157070003,hold,number stone,"[499, 267, 61, 48]"
378,1157070003,hold,number stone,"[510, 235, 52, 34]"
379,1157070003,hold,number stone,"[563, 258, 74, 47]"
380,1157070003,hold,number stone,"[589, 229, 61, 35]"
381,1157070003,hold,number stone,"[649, 246, 84, 52]"
382,1157070004,trigger,number stone,"[470, 80, 58, 57]"
383,1157070004,hold,number stone,"[470, 80, 58, 57]"
384,1157070005,trigger,number stone,"[31, 416, 95, 73]"
385,1157070005,trigger,number stone,"[127, 374, 75, 71]"
386,1157070005,trigger,number stone,"[193, 434, 86, 70]"
387,1157070005,trigger,number stone,"[247, 347, 75, 70]"
388,1157070005,trigger,number stone,"[297, 321, 59, 59]"
389,1157070005,trigger,number stone,"[334, 384, 70, 75]"
390,1157070005,trigger,number stone,"[358, 271, 49, 55]"
391,1157070005,trigger,number stone,"[366, 321, 67, 65]"
393,1157070005,trigger,number stone,"[434, 372, 55, 59]"
394,1157070005,trigger,number stone,"[493, 343, 65, 68]"
395,1157070005,trigger,number stone,"[531, 249, 61, 61]"
396,1157070005,trigger,number stone,"[509, 274, 47, 52]"
397,1157070005,trigger,number stone,"[567, 315, 70, 69]"
398,1157070005,trigger,number stone,"[610, 256, 54, 45]"
399,1157070005,hold,number stone,"[31, 416, 95, 73]"
400,1157070005,hold,number stone,"[127, 374, 75, 72]"
401,1157070005,hold,number stone,"[193, 434, 86, 70]"
402,1157070005,hold,number stone,"[247, 347, 75, 70]"
403,1157070005,hold,number stone,"[297, 321, 59, 59]"
404,1157070005,hold,number stone,"[334, 384, 70, 75]"
405,1157070005,hold,number stone,"[358, 270, 49, 56]"
406,1157070005,hold,number stone,"[366, 321, 67, 65]"
408,1157070005,hold,number stone,"[433, 371, 56, 61]"
409,1157070005,hold,number stone,"[492, 342, 66, 69]"
410,1157070005,hold,number stone,"[509, 274, 46, 52]"
412,1157070005,hold,number stone,"[567, 315, 70, 69]"
413,1157070005,hold,number stone,"[610, 255, 54, 46]"
414,1157070006,trigger,number stone,"[378, 433, 61, 73]"
415,1157070006,trigger,number stone,"[334, 508, 59, 32]"
416,1157070006,trigger,number stone,"[433, 413, 34, 53]"
417,1157070006,trigger,number stone,"[461, 392, 48, 35]"
418,1157070006,trigger,number stone,"[467, 434, 57, 60]"
419,1157070006,trigger,number stone,"[454, 494, 69, 46]"
420,1157070006,trigger,number stone,"[576, 420, 64, 68]"
421,1157070006,trigger,number stone,"[554, 494, 58, 46]"
422,1157070006,trigger,number stone,"[612, 482, 73, 58]"
423,1157070006,trigger,number stone,"[689, 469, 81, 71]"
424,1157070006,hold,number stone,"[334, 508, 59, 32]"
425,1157070006,hold,number stone,"[378, 432, 61, 74]"
426,1157070006,hold,number stone,"[433, 413, 34, 54]"
427,1157070006,hold,number stone,"[461, 393, 47, 34]"
428,1157070006,hold,number stone,"[467, 434, 57, 60]"
429,1157070006,hold,number stone,"[454, 494, 69, 46]"
430,1157070006,hold,number stone,"[554, 493, 58, 47]"
431,1157070006,hold,number stone,"[576, 420, 64, 71]"
432,1157070006,hold,number stone,"[612, 482, 73, 58]"
433,1157070006,hold,number stone,"[688, 469, 82, 71]"
436,1157070007,trigger,number stone,"[213, 462, 79, 72]"
437,1157070007,trigger,number stone,"[258, 370, 71, 69]"
438,1157070007,trigger,number stone,"[309, 339, 49, 59]"
440,1157070007,trigger,number stone,"[453, 376, 49, 57]"
441,1157070007,trigger,number stone,"[352, 343, 62, 57]"
442,1157070007,trigger,number stone,"[409, 343, 35, 54]"
443,1157070007,trigger,number stone,"[464, 302, 54, 58]"
444,1157070007,trigger,number stone,"[527, 260, 49, 53]"
445,1157070007,trigger,number stone,"[505, 283, 43, 48]"
446,1157070007,trigger,number stone,"[562, 315, 59, 60]"
447,1157070007,trigger,number stone,"[500, 343, 61, 64]"
448,1157070007,hold,number stone,"[213, 461, 83, 73]"
449,1157070007,hold,number stone,"[258, 370, 76, 70]"
450,1157070007,hold,number stone,"[309, 339, 47, 54]"
452,1157070007,hold,number stone,"[352, 343, 62, 57]"
453,1157070007,hold,number stone,"[409, 343, 35, 54]"
455,1157070007,hold,number stone,"[453, 375, 49, 62]"
456,1157070007,hold,number stone,"[562, 315, 59, 61]"
457,1157070007,hold,number stone,"[500, 343, 61, 64]"
458,1157070007,hold,number stone,"[505, 283, 43, 48]"
459,1157070007,hold,number stone,"[525, 259, 51, 54]"
460,1172280001,look at,start button,"[157, 50, 475, 62]"
462,1172280003,look at,passenger,"[437, 25, 224, 515]"
463,1172280004,look at,passenger,"[24, 13, 287, 301]"
464,1172280005,look at,passenger,"[310, 93, 198, 195]"
466,1172280006,look at,passenger,"[239, 153, 237, 209]"
468,1172280007,look at,passenger,"[520, 223, 50, 58]"
469,1172280008,look at,passenger,"[502, 71, 109, 223]"
470,1172280008,look at,passenger,"[182, 4, 227, 398]"
471,1172280009,look at,passenger,"[363, 86, 140, 214]"
472,1178780001,grip,control strip,"[281, 167, 58, 187]"
473,1178780001,grip,model,"[358, 305, 226, 81]"
474,1178780001,trigger,button,"[644, 66, 90, 56]"
475,1178780001,trigger,button,"[737, 27, 123, 69]"
476,1178780002,grip,control strip,"[331, 149, 26, 146]"
477,1178780002,grip,control strip,"[367, 249, 16, 85]"
478,1178780002,trigger,start button,"[408, 318, 60, 24]"
479,1178780002,trigger,cancel button,"[470, 322, 61, 24]"
480,1178780002,trigger,button,"[623, 137, 65, 31]"
481,1178780002,trigger,button,"[689, 124, 87, 38]"
482,1178780002,trigger,button,"[779, 105, 120, 47]"
483,1178780003,grip,control strip,"[222, 146, 172, 32]"
484,1178780003,grip,control strip,"[757, 0, 84, 151]"
485,1178780003,trigger,launch button,"[351, 295, 125, 59]"
486,1178780003,trigger,return button,"[361, 330, 128, 65]"
487,1178780004,grip,map,"[237, 254, 366, 132]"
488,1178780005,trigger,button,"[420, 284, 69, 60]"
489,1178780005,trigger,button,"[487, 271, 70, 57]"
490,1178780005,trigger,button,"[433, 344, 75, 65]"
491,1178780005,trigger,button,"[507, 327, 75, 61]"
492,1178780005,trigger,return button,"[443, 385, 159, 69]"
493,1178780006,trigger,spaceship,"[476, 292, 382, 248]"
494,1178780007,grip,lever,"[112, 132, 171, 170]"
495,1178780007,grip,control strip,"[257, 368, 224, 48]"
496,1178780007,grip,control strip,"[538, 238, 98, 17]"
497,1178780008,grip,control strip,"[269, 312, 171, 51]"
498,1178780008,trigger,button,"[89, 101, 73, 58]"
501,1178780008,trigger,button,"[123, 214, 67, 52]"
504,1178780009,trigger,column,"[488, 280, 5, 21]"
505,1178780009,trigger,button,"[557, 286, 38, 28]"
507,1178780009,trigger,button,"[667, 189, 49, 44]"
509,1178780009,trigger,button,"[658, 280, 47, 43]"
510,1178780009,trigger,button,"[652, 322, 49, 46]"
511,1178780009,grip,control strip,"[449, 346, 143, 40]"
