×Ü¹²ÕÒ²»µ½Æ¥ÅäµÄ patch ÊýÁ¿: 567

Í¼Æ¬ ID: 1026760006, Interaction ±ê×¢: {'id': 10, 'image_id': 1026760006, 'category_id': 6, 'segmentation': {'size': [540, 960], 'counts': 'loi52d`0k0XO7I6K4L3M4L3M4L3N2M3N2O1M3N2O1N2N1O2N1O2N101N100O2O0O101N100O2O000O10001O000O1000000000000O10O2O00000O1000000O101O0O100O2O0O101N100O2O0O2O0O2N2O0O2M3N2N2N3N1M3N3M2N2M3L5K5K5L3K6K7EVh_8'}, 'bbox': [352, 335, 92, 99], 'area': 9108, 'iscrowd': 1}
Í¼Æ¬ ID: 1063530020, Interaction ±ê×¢: {'id': 166, 'image_id': 1063530020, 'category_id': 9, 'segmentation': {'size': [540, 960], 'counts': 'ljc73i`01O100]_OLT`01m_O4MM2Ol?c0R@_Om?i0O10O01O101N2N100O101O1N3N1O3M0O10O100Oh@hNm>Z1n@jNR?a1O01O2N5Jb0_O5J3M2N0000000O10000O01O0O1O101O010000001O00O1O100O101O0000101O1O0O0N2O1O001000000O001O1O02O001N1000O1O001000000000001N1O101N1O2MmVc6'}, 'bbox': [462, 205, 97, 75], 'area': 7275, 'iscrowd': 1}
Í¼Æ¬ ID: 1063530023, Interaction ±ê×¢: {'id': 178, 'image_id': 1063530023, 'category_id': 10, 'segmentation': {'size': [540, 960], 'counts': 'eZT91i`02O20NUf23fYM;F5L2H7O3N6iNjN\\BV1S=iN\\B3`0V1R=ZOnBf0P=]OoBc0l<CRC=l<KoB5P=0jB2T=7cBL[=k1L5M2O2N100O1O1O2O0OhMTCb0k<lNnCn0R<oNUDm0j;PO]Dm0R;\\NPDg0P1k0n:aNPDd0T1j0k:eNoCa0W1h0j:LWE3i:NVE2j:NWE1i:OXE0h:0XE0h:1WEOj:0WEOi:1WE7a:I_E`0W:AhEc0UOUNQ:Y1iFl0jNWNS:n0RGm0gN[NR:k0TGP1cNYNV:i0nFU2Q9lMmFV2Q9kMbF[NBl3k9mM\\Fc2c9[200OmITFX5l9WJTF28c5d9ZJmFc5S9]JPG`5X:^MPETOQ;:oDeM5n1l:JREXNk0e1T:GfDeN?Mj0e1R:[NjDQ1T2a0_9[OmF;U9A]GNl8@`G:f8B\\4O1Me[^5'}, 'bbox': [554, 124, 75, 218], 'area': 16350, 'iscrowd': 1}
Í¼Æ¬ ID: 1063530036, Interaction ±ê×¢: {'id': 192, 'image_id': 1063530036, 'category_id': 1, 'segmentation': {'size': [540, 960], 'counts': 'S^V8<_`03L4N2N3L3N2N4L;E3M4L3M4L2O3L3L4K5E:J7L3M2N2O1N2O1N200O1O2N100O100O100010O00000O10O0O1O1N2M4N1N4L5L4L6J8I3oD]Kb9i4VF^Kf9e4UF_Ki9f4PF\\KP:g4lE[KS:k4eEXK[:e5O01O010O2N1O2bMZEbNi:X1aEaNe:X1bEbNj:Q1_EgNk:o0ZElNi:o0`EiN_:X1iEaNV:^1QF\\NP:c1TFYNl9g1VFWNj9h1YFVNh9g1[FXNe9f1_FYN`9g1bFWN^9g1hFUNY9V1\\DjNa2LT9Z1_3O1O1Oo@eNe>Y1]AhNa>W1aAiN^>W1cAiN]>U1dAlNANe>V1iAPOZ>n0gAlNC0f>R1gAPODMd>S1gARO`>l0aAUO_>i0cAVO^>h0cAXO^OLk>k0gAZO^OKk>i0hA]O]>b0bAA]>=cAE]>9dAH]>6dAI]>5dAK^>2cAO^>NcA2`>JaA6b?O01000O1000O100001O1O1O4M1N1O001Oe`02X_O2K5O00001OO1001O1O01O001O001O0O2O2N3LlZW5'}, 'bbox': [497, 331, 145, 203], 'area': 29435, 'iscrowd': 1}
Í¼Æ¬ ID: 1063530051, Interaction ±ê×¢: {'id': 213, 'image_id': 1063530051, 'category_id': 1, 'segmentation': {'size': [540, 960], 'counts': 'obT55f`011O3M3OM101N2O0L5O000001O2N1O1O0000001O001O00000000000001O000001O01O0000000001O01O00000k_ON`?2^@0g=McC2eN3f=LeC2cN3h=KeC2bN4h=KfC1aN5i=JfC1`N5k=JeC2^N5l=JfC2\\N5n=IgC1YN8P>GgC2VN;Q>CiCi0R<XOnCk0]NTOU=1^DY1`;hN`DX1X;POiDo0W;QOiDP1V;POjDP1V;POjDP1V;POjDQ1U;oNkDQ1U;POjDP1V;POjDQ1U;POiDQ1[ObNd:>lET1_O`Nf:;nER1YOeNk:8lER1XOhNl:7kEQ1WOjNn:5jER1VOjNT;1eEU1VOkNW;OcEV1TOmNY;MbEV1TOnN[;LaEV1ROoN^;L_EU1QOQO`;J^EV1POQOc;I]EW1lNSOg;F\\EX1kNSOj;E[EX1jNTOl;DYEW1kNUOm;DWEW1lNUOn;DVEW1jNVOP<DUEW1jNUOR<DSEZ1gNSOV<EREV2n:lMPET2o:nMQEQ2n:RNPEn1o:UNPEj1m:\\NPEd1m:aNQE^1o:dNQEKUO7V2\\O`6f0SHFZO5l1e0f5ESI^O_O6e1R2_4^N[JWOF6`1d2o3SNjJnNL:Z1n2g3nMPKhN2;V1T3`3lLiJK<I7;S1X3_3fLQKM5H;<n0\\3_3aLVK1OF`0;k0_3^3_LYK3JEe09i0c3]3[L]K5FEg08h0d3]3ZL_K7AEj07g0f3]3WLaKT1;POf0e3^3XL`KT1;QOd0e3`3XL_KS1<TOa0b3c3XL_KS1<VO>a3f3VL_KV1;UO<b3i3SL_K`12mNb0c3m3QL]Ke1JnNi0^3o3oK^K`3a0b0Q4oK[Kb3c0`0Q4QLVKd3g0;S4P1jKQOU4P1iKQOW4Q1gKPOX4Q1gKoNY4T1cKnN\\4T1bKlN^4PM_Kh1KZ1f4eLiK`7V4RHZLl7f3oGaLo7_3PHdLn7\\3PHfLP8Z3oGgLR8X3lGjLT8V3lGjLT8V3kGkLU8U3kGkLV8T3jGkLW8U3iGjLX8V3hGiLY8W3gGgL\\8X3cGgL_8Y3aGdLb8\\3^GbLd8^3[GbLf8^3ZGaLg8_3ZG^Lh8b3XG\\Lj8d3VGZLl8f3TGXLo8g3QGULS9k3mFlK\\9T4dFjK^9V4bFjK^9V4bFiK^9X4cFfK^9Z4cFdK^9\\4gF\\K\\9d4^1000000000hDZKZ:j4^E_K]:f4ZEbKb:b4VEcKi:Y5O1N10000O01000O2O000O2O1O1N101O1N2O0O2O1gJeIN^6OdI0]6NeI0\\6OfIO\\6ZN`IWN6]3\\6YNaIWN6_3X6YNfIUN4`3P6]K^Im2f0PNOc3l5bNXJiMNc3h5fN]JdMLe3g5lMbI\\Nm01Le3e5iMkI]Ne05Kc3f5iMoI\\Nb06Kb3e5iMSJ]N?O2g3^5iMVJ`N:O5e3[5kMYJaN7M8d3X5lM]JbN4M8_3\\5RNYJaN3N:T3d5[NQJbN1N=g2m5iNfIbN0M?V2[6ZOWIcN0La0_1m62cHcNNMd0Q1S7a0[HaNNMg0d0Z7n0QHaNNMi:c1YEaNLNj:`1\\EaNKNh:`1_EbNH0h:\\1cEcNF1e:\\1gEaNF2b:^1hE`NG2^:`1lE^NKLU:j1PFZNMJQ:o1RFWNNIl9T2UFTN\\;m1cDRN^;n1aDSN_;m1aDSN_;m1`DUN_;k1`DVN`;i1aDWN_;i1aDWN_;h1aDYN_;f1bD[N];d1dD\\N\\;c1dDTNbN3j<4_Cm0V1kNdN2g<5aCl0T1nNeN1e<3eCl0Q1POfN1d<1gCm0o0QOhN0b<0kCl0l0ROiN2\\=k0jCSOlN1\\=i0iCVOkN2\\=f0iCXOlN2]=c0hC[OlN2\\=a0iC\\OlN3\\=?[DAg;<[DCf;;\\DDd;;`2O1N1O2N2N2Nog=3nWB20O2N1OO001L31O100O011N2N2Neb1O\\]N1Ycj5'}, 'bbox': [312, 0, 294, 388], 'area': 114072, 'iscrowd': 1}
Í¼Æ¬ ID: 1063530055, Interaction ±ê×¢: {'id': 217, 'image_id': 1063530055, 'category_id': 6, 'segmentation': {'size': [540, 960], 'counts': 'kXm4:``0<C<E9H8G:G8H7I9G:F9G7J6I:F8I7H:F8I8G7I;E9H6I8H<D8I7H7I6K;D7I3M2N2N101N100O1O1O1O2N1O100O100O100O1O100O1O1O1O100O100O1O2N1O100O1O1O100O1O1O1O100O2N1O100O1O100O1O100O1O1O1O101O0O100N2O1O1O100O100O1O1O2O0O100O100N2O100O1O1O1O101N1O1O10000O100O1O1O2N1O100O1O1O1O1O100O2N1O100O1O100O1O100O1O1O1O1O10001N1O1O100O100O10000O10000O101O000000001O0001O00001O00001O000000100O1O001O1O001O1O1O1O1O1O001O1O1O010O1O1O001O1O1O1O001O1O1O100O1O001O1O1O1O00100O1O1O1O1O001O1O1O1O001O1O1O1O00100O1O1O001O1O1O1O001O1O100O001O1O1O1O001O1O1O100O1O001O1O1O1O1O001O1O100O001O1O001O1O1O1O1N2O1O001N2N2O1N1M4I7H8N1N3K5I7K5L4E;K4N3J6E;I7J6K4I8K5K5I7K5J5J7H8L4I7J6J5J7J6J6H7L5K5J6I7J6K5I8H8H8J6H8H9Hkh[5'}, 'bbox': [298, 8, 336, 385], 'area': 129360, 'iscrowd': 1}
Í¼Æ¬ ID: 1063530067, Interaction ±ê×¢: {'id': 236, 'image_id': 1063530067, 'category_id': 1, 'segmentation': {'size': [540, 960], 'counts': 'VjS5j0o?g0[Ob0]O=D4L101N10O01O1E^M[Bc2d=;00O100O10O1000O1000000O1000O100000O10000000O100000000000000O1000001O000O2O001O3M5K1O001O001N101O001O1O1N3N2N8Gb0_O;Dm0QOom`9'}, 'bbox': [310, 322, 71, 106], 'area': 7526, 'iscrowd': 1}
Í¼Æ¬ ID: 1113370002, Interaction ±ê×¢: {'id': 274, 'image_id': 1113370002, 'category_id': 1, 'segmentation': {'size': [540, 960], 'counts': 'e[X41d`0=F7U@^OR?[1J6K6I5L5K5K4L4L3N3L4M3L3N3M3L3N3L4M2N2N2N2M3N2M3N1O2N1O2N2O0O2O0O2N100N2O3M3M2N2N3N1N3N2M3N1O2M2O1O0O10000O10000000O10000O1000000000O1000O0100O1O100O1O001O1O100O10000O10O10000000O100000000000000000000000001O00000000000000010O0000000001O00100O1O4M0O1O1O100N101O0O1O2N1N2O1N2O1N3O0O1O1O20O1O01O000O2O0O2N2M2O2M2O1O2N1O2N1O2N1O1O2N1O1O2N1O2N2N2N2N3M2N2N3L4M3L4L4M2M4M3L4L5K6J5I7K5K9E7I9YO`aZ8'}, 'bbox': [258, 230, 196, 186], 'area': 36456, 'iscrowd': 1}
Í¼Æ¬ ID: 1113370003, Interaction ±ê×¢: {'id': 277, 'image_id': 1113370003, 'category_id': 1, 'segmentation': {'size': [540, 960], 'counts': 'dTR;7a`06K4M2L5K4M4L3M3M3M3K5F:WOi0F;L3M3O1O1@RMoBQ3h<f0ETLdCo3W<=M3M3N3K4M4N1N2K5N2N3M2N2N3M2N2O1O1O1O2O0O100O1000001N101O0O10001N10001O0O10001O000O101O0O10001O0O2O1O1O3L3N1O1N3N1O2M3N2N1O0O3N1N101O1O1O0O2O001O1N2O001O001N101O1N2O1O001N101O001O1N101O001O1N2O001O0O2O00001N101O001N101O0O2O1O0O2O1O0O2O001O001N2O001N2N10001O0O101O0000lIXHU3f7lLZHT3f7lLZHU3e7kL[HU3e7kL[HU3d7S3O0O2O001O0O101O00001O0O101O001N10001O0O2O001O001O0O101O0O10000O101N10001N100O1000001O0O1O2O0O2O000O2O000000001O0O100000001N1000001O000O101O0000001N100O2O00000O10001O0000000O2O000O101N100O10000O2O00000O10000O2O0O10000O1000000000000O2O00000O10000O100000000mM'}, 'bbox': [671, 67, 289, 357], 'area': 103173, 'iscrowd': 1}
Í¼Æ¬ ID: 1113370004, Interaction ±ê×¢: {'id': 278, 'image_id': 1113370004, 'category_id': 1, 'segmentation': {'size': [540, 960], 'counts': 'VoT68b`03O001O001O1O3M5L00001N5K2M2O1O1O001O0O2N1O1O2O001N2O00001O000O2O00001O001O0O2O001O0O10001O00000001O000001O001O1O000001O000001O01O0000001O0000001O1YOUAZOl>c0YA[Og>a0`A]O`>MVB3Z?00O0000000O101O00T[W8'}, 'bbox': [373, 274, 87, 60], 'area': 5220, 'iscrowd': 1}
Í¼Æ¬ ID: 1150310001, Interaction ±ê×¢: {'id': 282, 'image_id': 1150310001, 'category_id': 1, 'segmentation': {'size': [540, 960], 'counts': 'ZUd9f0T`04N0O100001O00O101O0001O00000000001O00000000001O00000000000000000000000000000000000000000000000000000000000000000000O1001O00000001O0000O10000000O10000001O000000000000000001O0000000000000000000000000000000000000000000000000000000000000000000000000000000000001O00000000001O00000000000000001O00000001O0000000O2H:A]jc3'}, 'bbox': [584, 199, 156, 32], 'area': 4992, 'iscrowd': 1}
Í¼Æ¬ ID: 1157070005, Interaction ±ê×¢: {'id': 392, 'image_id': 1157070005, 'category_id': 1, 'segmentation': {'size': [540, 960], 'counts': ']]P75e`04N1N3M3N2N2N3L4M3M3M3M2M4M2M3N2M2O0O1O100O100000000000O010O01O0010O10O1000O1000000O1000N15L1N2O2NDdN\\AW1e>jNZAU1g>lNZAR1f>oN_Aj0b>XO]Af0e>^OWA?l>AUA<o>@UA<W?Aa@=_?G_@8c?H\\@6i?LP@4S`083N2M3MmPg7'}, 'bbox': [425, 283, 66, 65], 'area': 4290, 'iscrowd': 1}
Í¼Æ¬ ID: 1157070005, Interaction ±ê×¢: {'id': 407, 'image_id': 1157070005, 'category_id': 12, 'segmentation': {'size': [540, 960], 'counts': 'blo64f`03N2N2N3N2M3N2N3M4L3M2N3M3L4M2M3N1N2M2O1O100O100O10000O10O010O010O10O01000O10O1000O10O10O10O10O010O10O1O1O100N3N1O3M4K5L4L3M4K4M2M4L4LP`f7'}, 'bbox': [424, 282, 68, 66], 'area': 4488, 'iscrowd': 1}
Í¼Æ¬ ID: 1157070005, Interaction ±ê×¢: {'id': 411, 'image_id': 1157070005, 'category_id': 12, 'segmentation': {'size': [540, 960], 'counts': 'fhg82c`08J6M4M2M2N2O1O001O2M2O1O1O1N2O1O2N2N1O2N2N2e@bNU?d1N2M3N1O2N100O2O001O0010O00100O0O2N1O102M2N1O2L3L4N3L3N3N2M2M3N2O1O2N1O2M3Fj_OJY`00\\jQ6'}, 'bbox': [530, 241, 62, 69], 'area': 4278, 'iscrowd': 1}
Í¼Æ¬ ID: 1157070006, Interaction ±ê×¢: {'id': 434, 'image_id': 1157070006, 'category_id': 1, 'segmentation': {'size': [540, 960], 'counts': 'jb`83e`06L2O2N1jNMaA5]>0_A1a>1[A1d>9QAHP?Q11N2O1O2N2M5L100O1N2O2N1O2N2M201N2N3L3N3M3N1N2M3M3N_Wg6'}, 'bbox': [516, 441, 35, 55], 'area': 1925, 'iscrowd': 1}
Í¼Æ¬ ID: 1157070006, Interaction ±ê×¢: {'id': 435, 'image_id': 1157070006, 'category_id': 12, 'segmentation': {'size': [540, 960], 'counts': 'ib`83g`04L3M2O2N1N101O1O0POJ[A6d>;l@DV?o0101N3N1O2N2N2N2N2O2M2O1N2N2N4M1N3M3L3N2N3LZhg6'}, 'bbox': [516, 440, 34, 56], 'area': 1904, 'iscrowd': 1}
Í¼Æ¬ ID: 1157070007, Interaction ±ê×¢: {'id': 439, 'image_id': 1157070007, 'category_id': 1, 'segmentation': {'size': [540, 960], 'counts': 'T`a55f`05K3N2M2O001N2O1O1O001O0O100O100O1000000000O010000000O1000O10000000O100000000000000000000000000O1O101N6Jdi\\9'}, 'bbox': [336, 315, 53, 28], 'area': 1484, 'iscrowd': 1}
Í¼Æ¬ ID: 1157070007, Interaction ±ê×¢: {'id': 451, 'image_id': 1157070007, 'category_id': 12, 'segmentation': {'size': [540, 960], 'counts': 'T`a55f`05K3N2M101O1N2O1O1O001N10000O100O10000O1N2O0101O1O000O1000000000000O100000000000000000000000000O1O101N6Jdi\\9'}, 'bbox': [336, 313, 53, 30], 'area': 1590, 'iscrowd': 1}
Í¼Æ¬ ID: 1157070007, Interaction ±ê×¢: {'id': 454, 'image_id': 1157070007, 'category_id': 12, 'segmentation': {'size': [540, 960], 'counts': '\\Pe7=]`03M2L5M2M4N1N2O2M2O1N3L3N3M2O2O0O2N1O1O2N10001O0010O010O1O01O01O01O10O00004K3L3N1N3N1N3L4L4I6K5K5N3N2M3N4KkhX7'}, 'bbox': [464, 297, 54, 63], 'area': 3402, 'iscrowd': 1}
Í¼Æ¬ ID: 1172280002, Interaction ±ê×¢: {'id': 461, 'image_id': 1172280002, 'category_id': 8, 'segmentation': {'size': [540, 960], 'counts': 'Yjh54g`02O1N2N100O100O2GGl_O:S`08O100O101O1N5L3M1O2N1O2N1O1O001O001O1O001O000iADn;=cC4Z<L_C=_<C^Cc0_<]O^Cg0a<YO\\Ck0c<UO[Cn0c<SO\\Co0c<QO\\CP1d<e1O000000000000ZM[CU1e<kN]CS1c<lN_CS1a<mNaCQ1_<nNdCo0]<POfCn0Z<QOjCl0V<SOoCi0Q<VOUDd0l;[O^D9e;EdD1_;NkDEY;8XEUOn:i0d2CU@AS`0::O000O2O000O2N101N2MZ]j8'}, 'bbox': [350, 239, 74, 133], 'area': 9842, 'iscrowd': 1}
Í¼Æ¬ ID: 1172280005, Interaction ±ê×¢: {'id': 465, 'image_id': 1172280005, 'category_id': 8, 'segmentation': {'size': [540, 960], 'counts': 'lP[82d`0:]O`0N1O100O2[@Ci>=QA5b>Y1J2N2M2O1O1O0O[NoAa0Q>^OSB`0l=@UB?k=AXB;j=CYB;h=A^B<f=kNlA<c0e0k=XOZBd0S?K5K6I7FUnP7'}, 'bbox': [506, 169, 27, 88], 'area': 2376, 'iscrowd': 1}
Í¼Æ¬ ID: 1172280007, Interaction ±ê×¢: {'id': 467, 'image_id': 1172280007, 'category_id': 8, 'segmentation': {'size': [540, 960], 'counts': ']mP77b`03O1N2Y@Dg>c0YA^Oe>c0ZA_Ob>d0^A]O_>e0aA[O\\>h0dAXOZ>j0fAVOX>?SAGe0JW>?XADa0LU>b0^A_O=OR>d0eAYO;1o=h0Y1O100O101O2M<ARV45niK0000N2N3MS]V8'}, 'bbox': [426, 214, 36, 98], 'area': 3528, 'iscrowd': 1}
Í¼Æ¬ ID: 1178780008, Interaction ±ê×¢: {'id': 499, 'image_id': 1178780008, 'category_id': 1, 'segmentation': {'size': [540, 960], 'counts': 'Wi]31ob15fmN3N1O001O001O00001O000O10000000000000000000O100000000000O1000000000000000000000O10001O001O1O1O1O2Mn_`;'}, 'bbox': [208, 103, 53, 24], 'area': 1272, 'iscrowd': 1}
Í¼Æ¬ ID: 1178780008, Interaction ±ê×¢: {'id': 500, 'image_id': 1178780008, 'category_id': 1, 'segmentation': {'size': [540, 960], 'counts': 'lcX64h`01N100000000O100000000000O1000000000000O10nPV9'}, 'bbox': [380, 234, 22, 7], 'area': 154, 'iscrowd': 1}
Í¼Æ¬ ID: 1178780008, Interaction ±ê×¢: {'id': 502, 'image_id': 1178780008, 'category_id': 1, 'segmentation': {'size': [540, 960], 'counts': 'Vjo67e`02N00O1O01000000000000000O10000O0101O1O0`[_8'}, 'bbox': [424, 228, 21, 11], 'area': 231, 'iscrowd': 1}
Í¼Æ¬ ID: 1178780008, Interaction ±ê×¢: {'id': 503, 'image_id': 1178780008, 'category_id': 1, 'segmentation': {'size': [540, 960], 'counts': 'R^Y52i`02N1O2O000000000000000O1000000000O1000000000000000ZSS:'}, 'bbox': [321, 162, 26, 8], 'area': 208, 'iscrowd': 1}
Í¼Æ¬ ID: 1178780009, Interaction ±ê×¢: {'id': 506, 'image_id': 1178780009, 'category_id': 1, 'segmentation': {'size': [540, 960], 'counts': 'WRj93^`0?H6M4L2O001O00000000001O0001O000001O00000000010O000000001O00000001O1N4_O[@E\\U]5'}, 'bbox': [595, 290, 37, 35], 'area': 1295, 'iscrowd': 1}
Í¼Æ¬ ID: 1178780009, Interaction ±ê×¢: {'id': 508, 'image_id': 1178780009, 'category_id': 1, 'segmentation': {'size': [540, 960], 'counts': 'Wlm::Z`09G9J6N3N1N10O1O100001O0O2O00001O0000001O00000000000000000000001O00000001O0001O0000O2O001N2N1I8G9EmPR4'}, 'bbox': [663, 235, 50, 44], 'area': 2200, 'iscrowd': 1}
Í¼Æ¬ ID: 1178780015, Interaction ±ê×¢: {'id': 525, 'image_id': 1178780015, 'category_id': 1, 'segmentation': {'size': [540, 960], 'counts': 'nUQ97T`0LW@8]?;Y@Gf?h0O101O000000000O100000000_@jN\\?V1d@jN\\?V1d@jN[?W1e@jNZ?V1f@jNZ?V1f@jN[?U1e@jN\\?V1d@jN\\?V150000000001N1000000O2ZOPeV6'}, 'bbox': [548, 174, 35, 47], 'area': 1645, 'iscrowd': 1}
